"cargo_atual","total","percentual"
"Analista de Dados/Data Analyst","3370","24.0"
"Cientista de Dados/Data Scientist","2485","17.7"
"Analista de BI/BI Analyst","1623","11.6"
"Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","1368","9.7"
"Engenheiro de Dados/Data Engineer/Data Architect","1015","7.2"
"Outra Opção","984","7.0"
"Analista de Negócios/Business Analyst","715","5.1"
"Analytics Engineer","641","4.6"
"Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","438","3.1"
"Engenheiro de Machine Learning/ML Engineer/AI Engineer","359","2.6"
"Analista de Suporte/Analista Técnico","278","2.0"
"Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","275","2.0"
"Outras Engenharias (não inclui dev)","117","0.8"
"Professor/Pesquisador","93","0.7"
"Analista de Inteligência de Mercado/Market Intelligence","78","0.6"
