"modelo_trabalho_atual","ano_pesquisa","total","percentual"
"Modelo 100% remoto","2023_2024","4402","46.3"
"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","2023_2024","1944","20.5"
"Modelo 100% presencial","2023_2024","1580","16.6"
"Modelo híbrido com dias fixos de trabalho presencial","2023_2024","1580","16.6"
"Modelo 100% remoto","2024_2025","2222","45.7"
"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","2024_2025","999","20.5"
"Modelo híbrido com dias fixos de trabalho presencial","2024_2025","850","17.5"
"Modelo 100% presencial","2024_2025","792","16.3"
"Modelo 100% remoto","2025_2026","1282","39.7"
"Modelo 100% presencial","2025_2026","670","20.8"
"Modelo híbrido com dias fixos de trabalho presencial","2025_2026","645","20.0"
"Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","2025_2026","631","19.5"
