"cargo_atual","senioridade","salario_medio","total"
"Engenheiro de Machine Learning/ML Engineer/AI Engineer","Especialista/Staff+","28759.67","27"
"Engenheiro de Dados/Data Engineer/Data Architect","Especialista/Staff+","22234.31","62"
"Outra Opção","Especialista/Staff+","21182.3","22"
"Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","20237.8","158"
"Cientista de Dados/Data Scientist","Especialista/Staff+","19847.7","72"
"Estatístico","Sênior","18469.25","16"
"Analytics Engineer","Especialista/Staff+","18313.0","24"
"Engenheiro de Dados/Data Engineer/Data Architect","Sênior","17340.92","492"
"Arquiteto de Dados/Data Architect","Sênior","16596.24","47"
"Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","16365.1","650"
"Analista de BI/BI Analyst","Especialista/Staff+","16000.5","17"
"Cientista de Dados/Data Scientist","Sênior","15741.75","1030"
"Analista de Negócios/Business Analyst","Especialista/Staff+","15306.06","18"
"Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","15163.58","187"
"Analista de Dados/Data Analyst","Especialista/Staff+","15017.43","59"
