"senioridade","cor_raca_etnia","salario_medio","total"
"Especialista/Staff+","Branca","20498.41","244"
"Especialista/Staff+","Preta","19913.52","23"
"Especialista/Staff+","Parda","18298.99","67"
"Júnior","Prefiro não informar","5855.32","31"
"Júnior","Amarela","4701.53","97"
"Júnior","Branca","4048.69","2116"
"Júnior","Parda","3913.23","934"
"Júnior","Preta","3640.84","285"
"Pleno","Prefiro não informar","9611.61","18"
"Pleno","Amarela","9071.92","133"
"Pleno","Branca","7895.45","3151"
"Pleno","Parda","7669.93","1266"
"Pleno","Preta","6850.36","353"
"Sênior","Prefiro não informar","20307.27","44"
"Sênior","Amarela","14478.21","157"
"Sênior","Branca","14330.16","3555"
"Sênior","Parda","13404.19","1163"
"Sênior","Preta","12485.11","325"
