"ano_pesquisa","cor_raca_etnia","total","percentual"
"2023_2024","Branca","6828","64.5"
"2023_2024","Parda","2562","24.2"
"2023_2024","Preta","774","7.3"
"2023_2024","Amarela","294","2.8"
"2023_2024","Prefiro não informar","68","0.6"
"2023_2024","Outra","36","0.3"
"2023_2024","Indígena","24","0.2"
"2024_2025","Branca","3478","66.7"
"2024_2025","Parda","1180","22.6"
"2024_2025","Preta","352","6.7"
"2024_2025","Amarela","155","3.0"
"2024_2025","Prefiro não informar","37","0.7"
"2024_2025","Indígena","10","0.2"
"2024_2025","Outra","5","0.1"
"2025_2026","Branca","2273","65.1"
"2025_2026","Parda","842","24.1"
"2025_2026","Preta","217","6.2"
"2025_2026","Amarela","117","3.3"
"2025_2026","Prefiro não informar","28","0.8"
"2025_2026","Outra","12","0.3"
"2025_2026","Indígena","4","0.1"
